‌ অ্যান্ডেজ ‌	অ্যান্ডেজ
‌ আলমের ‌	আলম
‌ স্পিনিংয়ের ‌	স্পিনিং
‌ জোরদারের ‌	জোরদার
‌ ঘড়িতে ‌	ঘড়ি
‌ ডেনিমেরও ‌	ডেনিম
‌ বেবিট্যাক্সিই ‌	বেবিট্যাক্সি
‌ বাড়িটিতে ‌	বাড়ি
‌ ইনিংসটিতেই ‌	ইনিংস
‌ মার্কনিকে ‌	মার্কনি
‌ ড্রাইয়ারের ‌	ড্রাইয়ার
‌ পুরোহিতদের ‌	পুরোহিত
‌ অভিবাসীর ‌	অভিবাসী
‌ অ্যালামনাইদের ‌	অ্যালামনাই
‌ সুইসপোস্টের ‌	সুইসপোস্টে
‌ দেয়ালঘড়ির ‌	দেয়ালঘড়ি
‌ প্রাণরসায়নে ‌	প্রাণরসায়ন
‌ ছক্কাটি ‌	ছক্কা
‌ গানবাজনার ‌	গানবাজনা
‌ ঘড়িটা ‌	ঘড়ি
‌ ঘড়িটি ‌	ঘড়ি
‌ ছক্কাটা ‌	ছক্কা
‌ গোবরের ‌	গোবর
‌ হেরাতে ‌	হেরাত
‌ বসুরও ‌	বসু
‌ কুপনটি ‌	কুপন
‌ বসুরই ‌	বসু
‌ দলীয়করণকে ‌	দলীয়করণ
‌ লেওনার্দোর ‌	লেওনার্দো
‌ ধমকটি ‌	ধমক
‌ সম্পর্কটাকে ‌	সম্পর্ক
‌ নির্দেশের ‌	নির্দেশ
‌ লেওনার্দোই ‌	লেওনার্দো
‌ জল্পনার ‌	জল্পনা
‌ স্পন্সরদের ‌	স্পন্সর
‌ কোকিলও ‌	কোকিল
‌ ইয়াসমিনের ‌	ইয়াসমিন
‌ রঞ্জনের ‌	রঞ্জন
‌ বয়াতির ‌	বয়াতি
‌ কবিতাগুচ্ছ ‌	কবিতা
‌ অ্যাডফেস্টে ‌	অ্যাডফেস্ট
‌ দেনদরবারের ‌	দেনদরবার
‌ হকিংয়ের ‌	হকিং
‌ নির্দেশেই ‌	নির্দেশ
‌ নির্দেশেও ‌	নির্দেশ
‌ জ্যাজের ‌	জ্যাজ
‌ ডাকাতদের ‌	ডাকাত
‌ স্মৃতিস্মারকের ‌	স্মৃতিস্মারক
‌ শিবলুকে ‌	শিবলু
‌ কম্পিউটিংয়ের ‌	কম্পিউটিং
‌ ক্যাশিয়ারের ‌	ক্যাশিয়ার
‌ লেন্সটিকে ‌	লেন্স
‌ সিমবিয়ানে ‌	সিমবিয়ান
‌ খুনে ‌	খুন
‌ বার্কের ‌	বার্ক
‌ বাড়িটিকে ‌	বাড়ি
‌ ইনকরপোরেশনের ‌	ইনকরপোরেশন
‌ খেজুরগুলো ‌	খেজুর
‌ বৃদ্ধিতে ‌	বৃদ্ধি
‌ খুনই ‌	খুন
‌ গল্পটাকে ‌	গল্প
‌ পরমাণুবিজ্ঞানীর ‌	পরমাণুবিজ্ঞানী
‌ খুনও ‌	খুন
‌ কিডনিগুলো ‌	কিডনি
‌ সদরে ‌	সদর
‌ তৃণভূমির ‌	তৃণভূমি
‌ উদ্বাস্তুরা ‌	উদ্বাস্তু
‌ ডিকশনারির ‌	ডিকশনারি
‌ গণ্ডির ‌	গণ্ডি
‌ কিছুরই ‌	কিছু
‌ ভ্রমণকারীর ‌	ভ্রমণকারী
‌ জ্ঞানকেন্দ্রটি ‌	জ্ঞানকেন্দ্র
‌ ভোক্তাদের ‌	ভোক্তা
‌ হইলে ‌	হইল
‌ হারেছের ‌	হারেছ
‌ জুটিটার ‌	জুটি
‌ বজ্রপাতের ‌	বজ্রপাত
‌ সাংবাদিকেরা ‌	সাংবাদিক
‌ মামলাজটের ‌	মামলাজট
‌ নির্বাপণযন্ত্রও ‌	নির্বাপণযন্ত্র
‌ আলিঙ্গনের ‌	আলিঙ্গন
‌ সাজাদপুরের ‌	সাজাদপুর
‌ খুবই ‌	খুব
‌ জুটিটির ‌	জুটি
‌ পদায়নে ‌	পদায়ন
‌ পেট্রোলের ‌	পেট্রোল
‌ হইতে ‌	হইত
‌ স্পোর্তোও ‌	স্পোর্তো
